"Zeit in ms:";"x in m/s²";"y in m/s²";"z in m/s²";"Markiert:";
"0";"-0,017936707";"0,08853769";"-0,009179115";"";
"20";"0,012351751";"0,019077778";"-0,023889542";"";
"40";"0,012368679";"0,07506561";"-0,060620308";"";
"60";"-0,064967394";"0,014780521";"-8,649826E-4";"";
"80";"-0,025040627";"-0,023310184";"-0,020823479";"";
"100";"-0,06309152";"0,016225338";"0,017004013";"";
"120";"-0,0031046867";"0,093301296";"0,035861015";"";
"140";"0,035110474";"-0,04409361";"-0,0037651062";"";
"160";"-0,0033855438";"-0,061002254";"-0,0031080246";"";
"180";"-0,021668673";"-0,0019025803";"-0,0035333633";"";
"200";"-0,0012145042";"-0,039815426";"-0,0035381317";"";
"220";"-6,606579E-4";"0,018488884";"-0,022989273";"";
"240";"-6,239414E-4";"0,038017273";"-0,0035333633";"";
"260";"5,657673E-4";"0,0013365746";"-0,044280052";"";
"280";"0,03903675";"0,0019478798";"0,014057159";"";
"300";"0,019260168";"-0,017055988";"-0,0053548813";"";
"320";"-0,01970172";"-0,053585052";"-0,04401493";"";
"340";"-0,019172907";"0,023988247";"-0,06127453";"";
"360";"0,020597458";"0,0051550865";"-0,022029877";"";
"380";"-0,018190622";"0,04361105";"-0,0023784637";"";
"400";"-0,018466711";"0,023850441";"-0,07991123";"";
"420";"0,038737297";"-0,051905632";"-0,02088356";"";
"440";"-2,7370453E-4";"-0,009128094";"-0,076420784";"";
"460";"-0,038927555";"-0,008898258";"-0,017381668";"";
"480";"-0,037432194";"0,029459953";"0,058335304";"";
"500";"0,02188778";"0,029528618";"-0,0012931824";"";
"520";"0,002737999";"0,046788216";"-0,019717216";"";
"540";"-0,016681671";"0,065413475";"0,03861332";"";
"560";"-0,032982588";"0,024267197";"-0,0014476776";"";
"580";"-0,012831211";"0,04330921";"-0,040302277";"";
"600";"-0,012777567";"0,04187298";"0,018064499";"";
"620";"-0,012372255";"0,06068468";"0,054715157";"";
"640";"-0,011296749";"7,505417E-4";"0,05319214";"";
"660";"-0,011520147";"-0,018313885";"-0,00644207";"";
"680";"0,008001804";"0,040616035";"0,0321846";"";
"700";"0,027390718";"0,0016102791";"0,010416985";"";
"720";"0,08544445";"-0,037044525";"-0,047714233";"";
"740";"-0,012542248";"-0,055244446";"-0,06532478";"";
"760";"-0,011408567";"0,060802937";"-0,02563858";"";
"780";"0,010085344";"-0,019076347";"0,015319824";"";
"800";"-0,028165817";"0,0027275085";"0,07215023";"";
"820";"0,04971838";"0,0031795502";"0,032582283";"";
"840";"0,048909664";"0,021764755";"-0,045405388";"";
