"Zeit in ms:";"x in rad/s";"y in rad/s";"z in rad/s";"Markiert:";
"0";"-0,009460449";"-0,010467529";"-7,9345703E-4";"";
"20";"-0,0054016113";"0,0012207031";"9,613037E-4";"";
"40";"0,0043640137";"0,0036621094";"0,0021972656";"";
"60";"-0,011520386";"-0,0012207031";"-0,006362915";"";
"80";"0,005584717";"1,5258789E-5";"-2,4414062E-4";"";
"100";"-0,001739502";"0,002456665";"0,0021972656";"";
"120";"0,008041382";"-0,0036621094";"0,009521484";"";
"140";"0,014144897";"0,0036621094";"-0,003921509";"";
"160";"-0,002960205";"1,5258789E-5";"-0,006362915";"";
"180";"-5,187988E-4";"0,0036621094";"-2,4414062E-4";"";
"200";"0,00680542";"-0,0012207031";"-0,006362915";"";
"220";"-0,002960205";"0,0036621094";"0,00340271";"";
"240";"-0,0090789795";"0,0048980713";"-0,005142212";"";
"260";"0,0031433105";"0,0036621094";"0,0107421875";"";
"280";"0,005584717";"0,0061035156";"9,613037E-4";"";
"300";"0,005584717";"-0,0024261475";"-0,011245728";"";
"320";"0,010482788";"0,0048980713";"0,011962891";"";
"340";"-0,001739502";"0,002456665";"-0,003921509";"";
"360";"-0,004196167";"0,002456665";"0,005844116";"";
"380";"-0,0054016113";"1,5258789E-5";"-2,4414062E-4";"";
"400";"-0,007843018";"-0,0024261475";"0,011962891";"";
"420";"-0,01272583";"0,0048980713";"0,0021972656";"";
"440";"-0,007843018";"-0,0012207031";"-0,0026855469";"";
"460";"-0,0066375732";"0,0073394775";"0,007080078";"";
"480";"-0,002960205";"-0,0036621094";"0,004638672";"";
"500";"0,010482788";"0,0036621094";"-0,006362915";"";
"520";"0,0019226074";"-0,0012207031";"-0,0026855469";"";
"540";"0,010482788";"-0,0036621094";"-0,013687134";"";
"560";"-0,0054016113";"1,5258789E-5";"9,613037E-4";"";
"580";"7,019043E-4";"0,0048980713";"0,007080078";"";
"600";"-0,007843018";"0,002456665";"9,613037E-4";"";
"620";"-0,001739502";"0,0073394775";"-2,4414062E-4";"";
"640";"0,0019226074";"-0,0012207031";"0,004638672";"";
"660";"0,0043640137";"0,0012207031";"9,613037E-4";"";
"680";"-0,0066375732";"1,5258789E-5";"0,005844116";"";
"700";"-0,002960205";"0,0036621094";"-0,007598877";"";
