"Zeit in ms:";"Schritt";"Markiert:";
"0";"97,0";"";
"20";"97,0";"";
"40";"97,0";"";
"60";"97,0";"";
"80";"97,0";"";
"100";"97,0";"";
"120";"97,0";"";
"140";"97,0";"";
"160";"97,0";"";
"180";"97,0";"";
"200";"97,0";"";
"220";"97,0";"";
"240";"97,0";"";
"260";"97,0";"";
"280";"97,0";"";
"300";"97,0";"";
"320";"97,0";"";
"340";"97,0";"";
"360";"97,0";"";
"380";"97,0";"";
"400";"97,0";"";
"420";"97,0";"";
"440";"97,0";"";
"460";"97,0";"";
"480";"97,0";"";
"500";"97,0";"";
"520";"97,0";"";
"540";"97,0";"";
"560";"97,0";"";
"580";"97,0";"";
"600";"97,0";"";
"620";"97,0";"";
"640";"97,0";"";
"660";"97,0";"";
"680";"97,0";"";
"700";"97,0";"";
"720";"97,0";"";
"740";"97,0";"";
"760";"97,0";"";
"780";"97,0";"";
"800";"97,0";"";
"820";"97,0";"";
"840";"97,0";"";
"860";"97,0";"";
"880";"97,0";"";
"900";"97,0";"";
"920";"97,0";"";
"940";"97,0";"";
"960";"97,0";"";
"980";"97,0";"";
"1000";"97,0";"";
"1020";"97,0";"";
"1040";"97,0";"";
"1060";"97,0";"";
"1080";"97,0";"";
"1100";"97,0";"";
"1120";"97,0";"";
"1140";"97,0";"";
"1160";"97,0";"";
"1180";"97,0";"";
"1200";"97,0";"";
"1220";"97,0";"";
"1240";"97,0";"";
"1260";"97,0";"";
"1280";"97,0";"";
"1300";"97,0";"";
"1320";"97,0";"";
"1340";"97,0";"";
"1360";"97,0";"";
"1380";"97,0";"";
"1400";"97,0";"";
"1420";"97,0";"";
"1440";"97,0";"";
"1460";"97,0";"";
"1480";"97,0";"";
"1500";"97,0";"";
"1520";"97,0";"";
"1540";"97,0";"";
"1560";"97,0";"";
"1580";"97,0";"";
"1600";"97,0";"";
"1620";"97,0";"";
"1640";"97,0";"";
"1660";"97,0";"";
"1680";"97,0";"";
"1700";"97,0";"";
"1720";"97,0";"";
"1740";"97,0";"";
"1760";"97,0";"";
"1780";"97,0";"";
"1800";"97,0";"";
"1820";"97,0";"";
"1840";"97,0";"";
"1860";"97,0";"";
"1880";"97,0";"";
"1900";"97,0";"";
"1920";"97,0";"";
"1940";"97,0";"";
"1960";"97,0";"";
"1980";"97,0";"";
"2000";"97,0";"";
"2020";"97,0";"";
"2040";"97,0";"";
"2060";"97,0";"";
"2080";"97,0";"";
"2100";"97,0";"";
"2120";"97,0";"";
"2140";"97,0";"";
"2160";"97,0";"";
"2180";"97,0";"";
"2200";"97,0";"";
"2220";"97,0";"";
"2240";"97,0";"";
"2260";"97,0";"";
"2280";"97,0";"";
"2300";"97,0";"";
"2320";"97,0";"";
"2340";"97,0";"";
"2360";"97,0";"";
"2380";"97,0";"";
"2400";"97,0";"";
"2420";"97,0";"";
"2440";"97,0";"";
"2460";"97,0";"";
"2480";"97,0";"";
"2500";"97,0";"";
"2520";"97,0";"";
"2540";"97,0";"";
"2560";"97,0";"";
"2580";"97,0";"";
"2600";"97,0";"";
"2620";"97,0";"";
"2640";"97,0";"";
"2660";"97,0";"";
"2680";"97,0";"";
"2700";"97,0";"";
"2720";"97,0";"";
"2740";"97,0";"";
"2760";"97,0";"";
"2780";"97,0";"";
"2800";"97,0";"";
"2820";"97,0";"";
"2840";"97,0";"";
"2860";"97,0";"";
"2880";"97,0";"";
"2900";"97,0";"";
"2920";"97,0";"";
"2940";"97,0";"";
"2960";"97,0";"";
"2980";"97,0";"";
"3000";"97,0";"";
"3020";"97,0";"";
"3040";"97,0";"";
"3060";"97,0";"";
"3080";"97,0";"";
"3100";"97,0";"";
"3120";"97,0";"";
"3140";"97,0";"";
"3160";"97,0";"";
"3180";"97,0";"";
"3200";"97,0";"";
"3220";"97,0";"";
"3240";"97,0";"";
"3260";"97,0";"";
"3280";"97,0";"";
"3300";"97,0";"";
"3320";"97,0";"";
"3340";"97,0";"";
"3360";"97,0";"";
"3380";"97,0";"";
"3400";"97,0";"";
"3420";"97,0";"";
"3440";"97,0";"";
"3460";"97,0";"";
"3480";"97,0";"";
"3500";"97,0";"";
"3520";"97,0";"";
"3540";"97,0";"";
"3560";"97,0";"";
"3580";"97,0";"";
"3600";"97,0";"";
"3620";"97,0";"";
"3640";"97,0";"";
"3660";"97,0";"";
"3680";"97,0";"";
"3700";"97,0";"";
"3720";"97,0";"";
"3740";"97,0";"";
"3760";"97,0";"";
"3780";"97,0";"";
"3800";"97,0";"";
"3820";"97,0";"";
"3840";"97,0";"";
"3860";"97,0";"";
"3880";"97,0";"";
"3900";"97,0";"";
"3920";"97,0";"";
"3940";"97,0";"";
"3960";"97,0";"";
"3980";"97,0";"";
"4000";"97,0";"";
"4020";"97,0";"";
"4040";"97,0";"";
"4060";"97,0";"";
"4080";"97,0";"";
"4100";"97,0";"";
"4120";"97,0";"";
"4140";"97,0";"";
"4160";"97,0";"";
"4180";"97,0";"";
"4200";"97,0";"";
"4220";"97,0";"";
"4240";"97,0";"";
"4260";"97,0";"";
"4280";"97,0";"";
"4300";"97,0";"";
"4320";"97,0";"";
"4340";"97,0";"";
"4360";"97,0";"";
"4380";"97,0";"";
"4400";"97,0";"";
"4420";"97,0";"";
"4440";"97,0";"";
"4460";"97,0";"";
"4480";"97,0";"";
"4500";"97,0";"";
"4520";"97,0";"";
"4540";"97,0";"";
"4560";"97,0";"";
"4580";"97,0";"";
"4600";"97,0";"";
"4620";"97,0";"";
"4640";"97,0";"";
"4660";"97,0";"";
"4680";"97,0";"";
"4700";"97,0";"";
"4720";"97,0";"";
"4740";"97,0";"";
"4760";"97,0";"";
"4780";"97,0";"";
"4800";"97,0";"";
"4820";"97,0";"";
"4840";"97,0";"";
"4860";"97,0";"";
"4880";"97,0";"";
"4900";"97,0";"";
"4920";"97,0";"";
"4940";"97,0";"";
"4960";"97,0";"";
"4980";"97,0";"";
"5000";"97,0";"";
"5020";"97,0";"";
"5040";"97,0";"";
"5060";"97,0";"";
"5080";"97,0";"";
"5100";"97,0";"";
"5120";"97,0";"";
"5140";"97,0";"";
"5160";"97,0";"";
"5180";"97,0";"";
"5200";"97,0";"";
"5220";"97,0";"";
"5240";"97,0";"";
"5260";"97,0";"";
"5280";"97,0";"";
"5300";"97,0";"";
"5320";"97,0";"";
"5340";"97,0";"";
"5360";"97,0";"";
"5380";"97,0";"";
"5400";"97,0";"";
"5420";"97,0";"";
"5440";"97,0";"";
"5460";"97,0";"";
"5480";"97,0";"";
"5500";"97,0";"";
"5520";"97,0";"";
"5540";"97,0";"";
"5560";"97,0";"";
"5580";"97,0";"";
"5600";"97,0";"";
"5620";"97,0";"";
"5640";"97,0";"";
"5660";"97,0";"";
"5680";"97,0";"";
"5700";"97,0";"";
"5720";"97,0";"";
"5740";"97,0";"";
"5760";"97,0";"";
"5780";"97,0";"";
"5800";"97,0";"";
"5820";"97,0";"";
"5840";"97,0";"";
"5860";"97,0";"";
"5880";"97,0";"";
"5900";"97,0";"";
"5920";"97,0";"";
"5940";"97,0";"";
"5960";"97,0";"";
"5980";"97,0";"";
"6000";"97,0";"";
"6020";"97,0";"";
"6040";"97,0";"";
"6060";"97,0";"";
"6080";"97,0";"";
"6100";"97,0";"";
"6120";"97,0";"";
"6140";"97,0";"";
"6160";"97,0";"";
"6180";"97,0";"";
"6200";"97,0";"";
"6220";"97,0";"";
"6240";"97,0";"";
"6260";"97,0";"";
"6280";"97,0";"";
"6300";"97,0";"";
"6320";"97,0";"";
"6340";"97,0";"";
"6360";"97,0";"";
"6380";"97,0";"";
"6400";"97,0";"";
"6420";"97,0";"";
"6440";"97,0";"";
"6460";"97,0";"";
"6480";"97,0";"";
"6500";"97,0";"";
"6520";"97,0";"";
"6540";"97,0";"";
"6560";"97,0";"";
"6580";"97,0";"";
"6600";"97,0";"";
"6620";"97,0";"";
"6640";"97,0";"";
"6660";"97,0";"";
"6680";"97,0";"";
"6700";"97,0";"";
"6720";"97,0";"";
"6740";"97,0";"";
"6760";"97,0";"";
"6780";"97,0";"";
"6800";"97,0";"";
"6820";"97,0";"";
"6840";"97,0";"";
"6860";"97,0";"";
"6880";"97,0";"";
"6900";"97,0";"";
"6920";"97,0";"";
"6940";"97,0";"";
"6960";"97,0";"";
"6980";"97,0";"";
"7000";"97,0";"";
"7020";"97,0";"";
"7040";"97,0";"";
"7060";"97,0";"";
"7080";"97,0";"";
"7100";"97,0";"";
"7120";"97,0";"";
"7140";"97,0";"";
"7160";"97,0";"";
"7180";"97,0";"";
"7200";"97,0";"";
"7220";"97,0";"";
"7240";"97,0";"";
"7260";"97,0";"";
"7280";"97,0";"";
"7300";"97,0";"";
"7320";"97,0";"";
"7340";"97,0";"";
"7360";"97,0";"";
"7380";"97,0";"";
"7400";"97,0";"";
"7420";"97,0";"";
"7440";"97,0";"";
"7460";"97,0";"";
"7480";"97,0";"";
"7500";"97,0";"";
"7520";"97,0";"";
"7540";"97,0";"";
"7560";"97,0";"";
"7580";"97,0";"";
"7600";"97,0";"";
"7620";"97,0";"";
"7640";"97,0";"";
"7660";"97,0";"";
"7680";"97,0";"";
"7700";"97,0";"";
"7720";"97,0";"";
"7740";"97,0";"";
"7760";"97,0";"";
"7780";"97,0";"";
"7800";"97,0";"";
"7820";"97,0";"";
"7840";"97,0";"";
"7860";"97,0";"";
"7880";"97,0";"";
"7900";"97,0";"";
"7920";"97,0";"";
"7940";"97,0";"";
"7960";"97,0";"";
"7980";"97,0";"";
"8000";"97,0";"";
"8020";"97,0";"";
"8040";"97,0";"";
"8060";"97,0";"";
"8080";"97,0";"";
"8100";"97,0";"";
"8120";"97,0";"";
"8140";"97,0";"";
"8160";"97,0";"";
"8180";"97,0";"";
"8200";"97,0";"";
"8220";"97,0";"";
"8240";"97,0";"";
"8260";"97,0";"";
"8280";"97,0";"";
"8300";"97,0";"";
"8320";"97,0";"";
"8340";"97,0";"";
"8360";"97,0";"";
"8380";"97,0";"";
"8400";"97,0";"";
"8420";"97,0";"";
"8440";"97,0";"";
"8460";"97,0";"";
"8480";"97,0";"";
"8500";"97,0";"";
"8520";"97,0";"";
"8540";"97,0";"";
"8560";"97,0";"";
"8580";"97,0";"";
"8600";"97,0";"";
"8620";"97,0";"";
"8640";"97,0";"";
"8660";"97,0";"";
"8680";"97,0";"";
"8700";"97,0";"";
"8720";"97,0";"";
"8740";"97,0";"";
"8760";"97,0";"";
"8780";"97,0";"";
"8800";"97,0";"";
"8820";"97,0";"";
"8840";"97,0";"";
"8860";"97,0";"";
"8880";"97,0";"";
"8900";"97,0";"";
"8920";"97,0";"";
"8940";"97,0";"";
"8960";"97,0";"";
"8980";"97,0";"";
"9000";"97,0";"";
"9020";"97,0";"";
"9040";"97,0";"";
"9060";"97,0";"";
