"Zeit in ms:";"x in m/s²";"y in m/s²";"z in m/s²";"Markiert:";
"0";"-0,10925293";"-0,067225456";"0,025229454";"";
"20";"-0,10925293";"-0,067225456";"0,025229454";"";
"40";"-0,10925293";"-0,067225456";"0,025229454";"";
"60";"-0,10925293";"-0,067225456";"0,025229454";"";
"80";"-0,14889753";"-0,13162565";"-0,07286835";"";
"100";"-0,14889753";"-0,13162565";"-0,07286835";"";
"120";"-0,01625967";"-0,05586195";"-0,028635025";"";
"140";"0,022171974";"-0,017733574";"0,019285202";"";
"160";"0,00473094";"-0,010421753";"-0,0022115707";"";
"180";"0,004335642";"-0,044376373";"0,021000862";"";
"200";"0,004992485";"-0,01983881";"0,0388155";"";
"220";"0,0155386925";"-0,036409855";"0,014843941";"";
"240";"0,013988733";"-0,025270462";"0,01688099";"";
"260";"0,017644405";"-0,005194187";"-0,014063835";"";
"280";"-0,032291174";"-0,020308495";"-0,0094099045";"";
"300";"0,006578684";"-0,0262084";"0,009814262";"";
"320";"0,036238194";"0,017654896";"0,028201103";"";
"340";"0,023152351";"-0,011892319";"0,018399239";"";
"360";"-0,00939703";"-0,015430927";"-0,0012845993";"";
"380";"0,0045154095";"-0,0079193115";"-0,06592941";"";
"400";"-0,002522707";"-0,0078048706";"-0,005911827";"";
"420";"0,013767242";"-0,039838314";"-0,005791664";"";
"440";"-0,008752346";"0,018057823";"0,029557228";"";
"460";"-0,0061295033";"-0,0033745766";"-0,0105724335";"";
"480";"-0,018082619";"0,0066833496";"0,050833702";"";
"500";"0,012913227";"-0,004527092";"-0,0023317337";"";
"520";"-0,0061104298";"-0,0020370483";"-0,0068597794";"";
"540";"0,007174492";"0,016963482";"0,023895264";"";
"560";"0,01613617";"0,0071997643";"0,036035538";"";
"580";"-0,017075777";"0,012520313";"0,038172722";"";
"600";"0,004077196";"-0,039836407";"0,028198242";"";
"620";"-0,005348444";"-0,0011444092";"-0,040779114";"";
"640";"-0,038538694";"-0,008041382";"-0,01909256";"";
"660";"-0,026481152";"0,02322054";"-0,049469948";"";
"680";"-0,009704351";"-0,007270336";"0,012225151";"";
"700";"0,011390209";"0,014359474";"0,0120334625";"";
"720";"0,008551121";"-0,023510933";"0,009908676";"";
"740";"0,015224457";"-0,006690979";"1,18255615E-4";"";
"760";"0,007293701";"0,007976055";"0,014028549";"";
"780";"-0,0025279522";"-0,0011825562";"-0,024137497";"";
"800";"-0,005501032";"0,0060577393";"-0,023916245";"";
"820";"-0,012796402";"-0,020055294";"-0,005083084";"";
"840";"0,0010945797";"0,034746647";"-0,021500587";"";
"860";"-0,0036065578";"-0,022123337";"0,0024089813";"";
"880";"-0,012858152";"-0,01946783";"-0,004798889";"";
"900";"-0,013243198";"0,00452137";"-0,0018119812";"";
"920";"0,06013179";"-0,009484291";"-0,03267002";"";
"940";"0,00948596";"-0,006913662";"0,029600143";"";
"960";"-0,026184559";"2,465248E-4";"-0,0042648315";"";
"980";"-0,009183884";"0,0028300285";"0,00995636";"";
"1000";"-0,016235113";"-0,030174255";"-0,033195496";"";
"1020";"-0,04697895";"0,027200222";"-0,09216404";"";
"1040";"-0,004819393";"0,012910843";"0,028824806";"";
"1060";"0,02114296";"-0,041800976";"-0,014694214";"";
"1080";"-0,002913475";"-0,005543232";"0,009189606";"";
"1100";"-7,8988075E-4";"-0,029506207";"-0,024000168";"";
"1120";"0,0020065308";"0,014234066";"-0,003112793";"";
"1140";"-0,0074648857";"-0,024204731";"-0,047691345";"";
"1160";"-0,021611214";"-0,0027856827";"0,03357792";"";
"1180";"0,02098155";"0,016384602";"-0,0044813156";"";
"1200";"-0,010020018";"-0,0076642036";"-0,009723663";"";
"1220";"-0,035964012";"0,0015368462";"-0,011843681";"";
"1240";"-0,016748905";"-4,515648E-4";"0,014340401";"";
"1260";"-0,02370429";"0,0022888184";"-0,009408951";"";
"1280";"-0,0069816113";"-0,004917145";"0,016482353";"";
"1300";"4,9829483E-5";"-0,002257347";"-0,035931587";"";
"1320";"0,009687662";"0,0021328926";"0,025513649";"";
"1340";"-0,0047795773";"-0,0026555061";"-0,022425652";"";
"1360";"-0,0041720867";"0,006172657";"-0,009963036";"";
"1380";"0,0074985027";"-0,0011749268";"0,014079094";"";
"1400";"0,014653444";"-0,0062594414";"0,028452873";"";
"1420";"-0,009317398";"0,019505024";"0,009056091";"";
"1440";"0,0051636696";"-0,013879776";"0,03244877";"";
"1460";"0,0028882027";"-0,013826847";"0,02995205";"";
"1480";"0,016821623";"0,013163567";"0,025118828";"";
"1500";"-0,018936634";"0,0012893677";"0,0015449524";"";
"1520";"-0,008856535";"0,0059113503";"-0,017065048";"";
"1540";"3,0565262E-4";"0,007894516";"-0,0022888184";"";
"1560";"-0,0062861443";"-0,022806644";"0,0050907135";"";
"1580";"-0,0014410019";"0,008725166";"0,0125694275";"";
"1600";"0,0032615662";"0,020231724";"0,02668953";"";
"1620";"0,024363518";"8,4877014E-4";"0,024364471";"";
"1640";"-0,008935928";"-0,009505272";"8,4114075E-4";"";
"1660";"0,04724264";"0,060921192";"-0,0028905869";"";
"1680";"-0,0055880547";"0,009803772";"-0,009689331";"";
"1700";"-0,019194365";"-0,0050764084";"-0,008900642";"";
"1720";"-0,022385359";"-0,014656067";"0,0057373047";"";
"1740";"-0,013319969";"0,022006512";"-0,015198708";"";
"1760";"-0,011355877";"0,0019264221";"-0,025460243";"";
"1780";"0,011552572";"-0,008126736";"0,0042352676";"";
"1800";"-0,0060031414";"0,017336369";"-0,039995193";"";
"1820";"-0,011080503";"0,016971588";"-0,029239655";"";
"1840";"-0,03513813";"0,013836384";"-0,0066804886";"";
"1860";"-0,0045149326";"-0,043926716";"0,02493763";"";
"1880";"0,015476465";"0,015038013";"-0,02660942";"";
"1900";"-0,039721966";"0,009253502";"0,0075302124";"";
"1920";"0,04085231";"0,013075352";"-0,036928177";"";
"1940";"0,029892921";"-0,004108429";"0,029857635";"";
"1960";"-0,0068638325";"-0,030566692";"-0,010333061";"";
"1980";"-0,019829273";"0,0073919296";"-0,015207291";"";
"2000";"-0,0019536018";"-0,041234016";"0,028245926";"";
"2020";"-0,00951314";"-0,014700413";"0,005502701";"";
"2040";"0,003812313";"-0,029497623";"0,01051712";"";
"2060";"-0,02158308";"-0,0060067177";"-0,026640892";"";
"2080";"0,0036475658";"-0,0068092346";"-0,004681587";"";
"2100";"-0,01327157";"0,024034977";"0,010196686";"";
"2120";"-0,022763252";"-0,028666973";"-0,020726204";"";
"2140";"-0,046786785";"-0,012750149";"-0,029992104";"";
"2160";"0,014530182";"-0,017807484";"0,0034036636";"";
"2180";"0,011495113";"0,010740757";"0,013447762";"";
"2200";"0,043988943";"-0,010688782";"-0,002922058";"";
"2220";"-0,007015705";"0,015318871";"-0,030947685";"";
"2240";"0,0012705326";"-7,247925E-5";"0,02431202";"";
"2260";"-0,0071718693";"-0,005264759";"-0,015827179";"";
"2280";"-0,015822172";"0,016064644";"0,0058813095";"";
