"Zeit in ms:";"x in rad/s";"y in rad/s";"z in rad/s";"Markiert:";
"0";"-5,79834E-4";"-0,007980347";"0,0013122559";"";
"20";"-5,79834E-4";"-0,007980347";"0,0013122559";"";
"40";"-5,79834E-4";"-0,007980347";"0,0013122559";"";
"60";"-8,087158E-4";"0,0014190674";"1,5258789E-4";"";
"80";"-8,087158E-4";"0,0014190674";"1,5258789E-4";"";
"100";"-0,0029296875";"-0,0049743652";"0,00440979";"";
"120";"-8,087158E-4";"-0,0017852783";"0,0033416748";"";
"140";"-0,0029296875";"0,0024871826";"0,0012207031";"";
"160";"-8,087158E-4";"-7,171631E-4";"-9,1552734E-4";"";
"180";"-0,0018615723";"3,5095215E-4";"1,5258789E-4";"";
"200";"2,593994E-4";"-7,171631E-4";"-9,1552734E-4";"";
"220";"-8,087158E-4";"3,5095215E-4";"1,5258789E-4";"";
"240";"-8,087158E-4";"-7,171631E-4";"-0,0019836426";"";
"260";"0,0013275146";"3,5095215E-4";"-0,0019836426";"";
"280";"2,593994E-4";"-0,0017852783";"-0,0019836426";"";
"300";"-8,087158E-4";"-0,0049743652";"0,0012207031";"";
"320";"-0,0018615723";"0,0014190674";"1,5258789E-4";"";
"340";"2,593994E-4";"0,0014190674";"0,0022735596";"";
"360";"-8,087158E-4";"-0,0017852783";"1,5258789E-4";"";
"380";"2,593994E-4";"-0,0017852783";"1,5258789E-4";"";
"400";"0,0023956299";"-0,00390625";"-9,1552734E-4";"";
"420";"-8,087158E-4";"-0,0028533936";"-9,1552734E-4";"";
"440";"0,0013275146";"0,0014190674";"-0,0019836426";"";
"460";"0,0013275146";"0,0014190674";"-0,0030517578";"";
"480";"2,593994E-4";"-7,171631E-4";"-9,1552734E-4";"";
"500";"2,593994E-4";"-0,0017852783";"-0,0030517578";"";
"520";"2,593994E-4";"-0,0017852783";"-9,1552734E-4";"";
"540";"-0,0029296875";"-7,171631E-4";"-9,1552734E-4";"";
"560";"-8,087158E-4";"3,5095215E-4";"0,0012207031";"";
"580";"2,593994E-4";"-7,171631E-4";"1,5258789E-4";"";
"600";"-8,087158E-4";"0,0014190674";"0,0012207031";"";
"620";"-8,087158E-4";"-0,0028533936";"-9,1552734E-4";"";
"640";"0,0045318604";"-7,171631E-4";"0,0012207031";"";
"660";"-0,0029296875";"-0,0017852783";"1,5258789E-4";"";
"680";"-8,087158E-4";"-0,0017852783";"0,0012207031";"";
"700";"-0,0018615723";"-0,0028533936";"1,5258789E-4";"";
"720";"2,593994E-4";"-7,171631E-4";"-0,0030517578";"";
"740";"-0,0029296875";"-0,0017852783";"0,0033416748";"";
"760";"-8,087158E-4";"-0,0017852783";"0,0012207031";"";
"780";"2,593994E-4";"-0,0017852783";"0,0022735596";"";
"800";"-0,0018615723";"0,0014190674";"0,0033416748";"";
"820";"0,0013275146";"3,5095215E-4";"0,0022735596";"";
"840";"-0,0029296875";"3,5095215E-4";"-9,1552734E-4";"";
"860";"2,593994E-4";"0,0024871826";"1,5258789E-4";"";
"880";"-8,087158E-4";"-7,171631E-4";"1,5258789E-4";"";
"900";"2,593994E-4";"3,5095215E-4";"-9,1552734E-4";"";
"920";"0,0013275146";"-7,171631E-4";"1,5258789E-4";"";
"940";"-8,087158E-4";"-0,0017852783";"1,5258789E-4";"";
"960";"2,593994E-4";"0,0014190674";"0,0022735596";"";
"980";"-8,087158E-4";"3,5095215E-4";"-9,1552734E-4";"";
"1000";"-8,087158E-4";"-7,171631E-4";"0,0012207031";"";
"1020";"-0,0018615723";"-7,171631E-4";"0,0012207031";"";
"1040";"0,0023956299";"3,5095215E-4";"1,5258789E-4";"";
"1060";"-8,087158E-4";"0,0024871826";"-9,1552734E-4";"";
"1080";"0,0013275146";"-0,0017852783";"1,5258789E-4";"";
"1100";"2,593994E-4";"-0,00390625";"0,0012207031";"";
"1120";"0,0013275146";"-0,00390625";"0,0033416748";"";
"1140";"2,593994E-4";"-7,171631E-4";"0,0022735596";"";
"1160";"-0,0029296875";"3,5095215E-4";"0,0012207031";"";
"1180";"2,593994E-4";"-7,171631E-4";"0,0022735596";"";
"1200";"2,593994E-4";"0,0014190674";"1,5258789E-4";"";
"1220";"-0,0029296875";"-0,0028533936";"-9,1552734E-4";"";
"1240";"-0,0039978027";"-7,171631E-4";"0,0012207031";"";
"1260";"2,593994E-4";"0,0014190674";"1,5258789E-4";"";
"1280";"-0,006134033";"0,0014190674";"0,0012207031";"";
"1300";"-0,0018615723";"0,0046081543";"-9,1552734E-4";"";
"1320";"2,593994E-4";"-7,171631E-4";"-0,0019836426";"";
"1340";"0,0013275146";"0,0024871826";"-9,1552734E-4";"";
"1360";"0,0013275146";"-7,171631E-4";"0,0012207031";"";
"1380";"0,0034637451";"3,5095215E-4";"0,0022735596";"";
"1400";"0,0013275146";"-0,0028533936";"1,5258789E-4";"";
"1420";"0,0013275146";"0,0014190674";"1,5258789E-4";"";
"1440";"0,0023956299";"-7,171631E-4";"1,5258789E-4";"";
"1460";"-8,087158E-4";"-0,0017852783";"0,0022735596";"";
"1480";"-0,0018615723";"-0,0028533936";"0,0012207031";"";
"1500";"-0,0018615723";"0,0014190674";"0,0012207031";"";
"1520";"0,0013275146";"0,0024871826";"-0,0019836426";"";
"1540";"2,593994E-4";"-0,0017852783";"-9,1552734E-4";"";
"1560";"2,593994E-4";"-0,0017852783";"-9,1552734E-4";"";
"1580";"-8,087158E-4";"-0,00390625";"1,5258789E-4";"";
"1600";"2,593994E-4";"-7,171631E-4";"0,0033416748";"";
"1620";"0,0013275146";"-0,0028533936";"1,5258789E-4";"";
"1640";"0,0034637451";"-0,0028533936";"1,5258789E-4";"";
"1660";"0,005584717";"-0,0028533936";"0,00440979";"";
"1680";"0,0045318604";"-0,0060424805";"0,00440979";"";
"1700";"0,005584717";"-0,0071105957";"0,007598877";"";
"1720";"0,0045318604";"-0,012435913";"0,007598877";"";
"1740";"0,0077209473";"-0,011367798";"0,011871338";"";
"1760";"0,005584717";"-0,015625";"0,008666992";"";
"1780";"0,0034637451";"-0,013504028";"0,007598877";"";
"1800";"0,0023956299";"-0,013504028";"0,008666992";"";
"1820";"0,005584717";"-0,011367798";"0,008666992";"";
"1840";"0,005584717";"-0,011367798";"0,010803223";"";
"1860";"0,0045318604";"-0,012435913";"0,008666992";"";
"1880";"0,0013275146";"-0,010299683";"0,009735107";"";
"1900";"0,0023956299";"-0,009231567";"0,0054779053";"";
"1920";"0,005584717";"-0,0060424805";"0,007598877";"";
"1940";"0,0034637451";"-0,0049743652";"0,0022735596";"";
"1960";"0,0034637451";"-0,0028533936";"1,5258789E-4";"";
"1980";"0,0023956299";"-0,00390625";"0,0033416748";"";
"2000";"0,0045318604";"-0,0028533936";"0,0022735596";"";
"2020";"0,0034637451";"-0,0049743652";"0,0065460205";"";
"2040";"0,0034637451";"-0,0071105957";"0,0054779053";"";
"2060";"0,0034637451";"-0,0049743652";"1,5258789E-4";"";
"2080";"0,0023956299";"-0,0060424805";"0,0033416748";"";
"2100";"0,0023956299";"-0,00390625";"0,0012207031";"";
"2120";"0,0013275146";"-7,171631E-4";"1,5258789E-4";"";
"2140";"0,0023956299";"-0,0049743652";"-0,0019836426";"";
"2160";"0,0013275146";"-0,0049743652";"0,0033416748";"";
"2180";"2,593994E-4";"-0,00390625";"0,0022735596";"";
"2200";"0,0013275146";"-0,00390625";"0,0012207031";"";
"2220";"0,0045318604";"-0,0049743652";"0,0033416748";"";
"2240";"0,0023956299";"-0,009231567";"0,00440979";"";
"2260";"2,593994E-4";"-0,008178711";"0,0022735596";"";
"2280";"2,593994E-4";"-0,0071105957";"0,00440979";"";
"2300";"0,0023956299";"-0,009231567";"0,0054779053";"";
"2320";"2,593994E-4";"-0,00390625";"0,00440979";"";
"2340";"2,593994E-4";"-0,0028533936";"0,0022735596";"";
"2360";"0,0034637451";"-0,0028533936";"0,0054779053";"";
"2380";"0,0045318604";"-0,0017852783";"0,0033416748";"";
"2400";"0,0013275146";"-0,0071105957";"0,00440979";"";
"2420";"0,0013275146";"0,0014190674";"0,0012207031";"";
"2440";"0,0023956299";"-0,0028533936";"0,0022735596";"";
"2460";"-8,087158E-4";"0,0024871826";"-0,004119873";"";
"2480";"-0,0018615723";"0,0014190674";"-0,0019836426";"";
"2500";"-0,0039978027";"0,0024871826";"-9,1552734E-4";"";
"2520";"-0,0018615723";"3,5095215E-4";"-9,1552734E-4";"";
"2540";"0,0023956299";"-0,0049743652";"0,00440979";"";
"2560";"2,593994E-4";"-0,00390625";"0,0033416748";"";
"2580";"0,0013275146";"-0,0060424805";"0,0022735596";"";
"2600";"0,0013275146";"-0,0049743652";"1,5258789E-4";"";
"2620";"0,0023956299";"-7,171631E-4";"0,0012207031";"";
"2640";"-0,0018615723";"-0,0017852783";"0,0012207031";"";
"2660";"-8,087158E-4";"-0,0017852783";"-0,0019836426";"";
"2680";"0,0013275146";"-7,171631E-4";"1,5258789E-4";"";
"2700";"-8,087158E-4";"0,0024871826";"-9,1552734E-4";"";
"2720";"-0,0029296875";"0,0014190674";"1,5258789E-4";"";
"2740";"-0,0018615723";"0,0014190674";"-9,1552734E-4";"";
"2760";"-0,0018615723";"-7,171631E-4";"1,5258789E-4";"";
"2780";"-0,005065918";"0,0056762695";"-0,0030517578";"";
