"Zeit in ms:";"Schritt";"Markiert:";
"0";"152,0";"";
"20";"152,0";"";
"40";"152,0";"";
"60";"152,0";"";
"80";"152,0";"";
"100";"152,0";"";
"120";"152,0";"";
"140";"152,0";"";
"160";"152,0";"";
"180";"152,0";"";
"200";"152,0";"";
"220";"152,0";"";
"240";"152,0";"";
"260";"152,0";"";
"280";"152,0";"";
"300";"152,0";"";
"320";"152,0";"";
"340";"152,0";"";
"360";"152,0";"";
"380";"152,0";"";
"400";"152,0";"";
"420";"152,0";"";
"440";"152,0";"";
"460";"152,0";"";
"480";"152,0";"";
"500";"152,0";"";
"520";"152,0";"";
"540";"152,0";"";
"560";"152,0";"";
"580";"152,0";"";
"600";"152,0";"";
"620";"152,0";"";
"640";"152,0";"";
"660";"152,0";"";
"680";"152,0";"";
"700";"152,0";"";
"720";"152,0";"";
"740";"152,0";"";
"760";"152,0";"";
"780";"152,0";"";
"800";"152,0";"";
"820";"152,0";"";
"840";"152,0";"";
"860";"152,0";"";
"880";"152,0";"";
"900";"152,0";"";
"920";"152,0";"";
"940";"152,0";"";
"960";"152,0";"";
"980";"152,0";"";
"1000";"152,0";"";
"1020";"152,0";"";
"1040";"152,0";"";
"1060";"152,0";"";
"1080";"152,0";"";
"1100";"152,0";"";
"1120";"152,0";"";
"1140";"152,0";"";
"1160";"152,0";"";
"1180";"152,0";"";
"1200";"152,0";"";
"1220";"152,0";"";
"1240";"152,0";"";
"1260";"152,0";"";
"1280";"152,0";"";
"1300";"152,0";"";
"1320";"152,0";"";
"1340";"152,0";"";
"1360";"152,0";"";
"1380";"152,0";"";
"1400";"152,0";"";
"1420";"152,0";"";
"1440";"152,0";"";
"1460";"152,0";"";
"1480";"152,0";"";
"1500";"152,0";"";
"1520";"152,0";"";
"1540";"152,0";"";
"1560";"152,0";"";
"1580";"152,0";"";
"1600";"152,0";"";
"1620";"152,0";"";
"1640";"152,0";"";
"1660";"152,0";"";
"1680";"152,0";"";
"1700";"152,0";"";
"1720";"152,0";"";
"1740";"152,0";"";
"1760";"152,0";"";
"1780";"152,0";"";
"1800";"152,0";"";
"1820";"152,0";"";
"1840";"152,0";"";
"1860";"152,0";"";
"1880";"152,0";"";
"1900";"152,0";"";
"1920";"152,0";"";
"1940";"152,0";"";
"1960";"152,0";"";
"1980";"152,0";"";
"2000";"152,0";"";
"2020";"152,0";"";
"2040";"152,0";"";
"2060";"152,0";"";
"2080";"152,0";"";
"2100";"152,0";"";
"2120";"152,0";"";
"2140";"152,0";"";
"2160";"152,0";"";
"2180";"152,0";"";
"2200";"152,0";"";
"2220";"152,0";"";
"2240";"152,0";"";
"2260";"152,0";"";
"2280";"152,0";"";
"2300";"152,0";"";
"2320";"152,0";"";
"2340";"152,0";"";
"2360";"152,0";"";
"2380";"152,0";"";
"2400";"152,0";"";
"2420";"152,0";"";
"2440";"152,0";"";
"2460";"152,0";"";
"2480";"152,0";"";
"2500";"152,0";"";
"2520";"152,0";"";
"2540";"152,0";"";
"2560";"152,0";"";
"2580";"152,0";"";
"2600";"152,0";"";
"2620";"152,0";"";
"2640";"152,0";"";
"2660";"152,0";"";
"2680";"152,0";"";
"2700";"152,0";"";
"2720";"152,0";"";
"2740";"152,0";"";
"2760";"152,0";"";
"2780";"152,0";"";
"2800";"152,0";"";
"2820";"152,0";"";
"2840";"152,0";"";
"2860";"152,0";"";
"2880";"152,0";"";
"2900";"152,0";"";
"2920";"152,0";"";
"2940";"152,0";"";
"2960";"152,0";"";
"2980";"152,0";"";
"3000";"152,0";"";
"3020";"152,0";"";
"3040";"152,0";"";
"3060";"152,0";"";
"3080";"152,0";"";
"3100";"152,0";"";
"3120";"152,0";"";
"3140";"152,0";"";
"3160";"152,0";"";
"3180";"152,0";"";
"3200";"152,0";"";
"3220";"152,0";"";
"3240";"152,0";"";
"3260";"152,0";"";
"3280";"152,0";"";
"3300";"152,0";"";
"3320";"152,0";"";
"3340";"152,0";"";
"3360";"152,0";"";
"3380";"152,0";"";
"3400";"152,0";"";
"3420";"152,0";"";
"3440";"152,0";"";
"3460";"152,0";"";
"3480";"152,0";"";
"3500";"152,0";"";
"3520";"152,0";"";
"3540";"152,0";"";
"3560";"152,0";"";
"3580";"152,0";"";
"3600";"152,0";"";
"3620";"152,0";"";
"3640";"152,0";"";
"3660";"152,0";"";
"3680";"152,0";"";
"3700";"152,0";"";
"3720";"152,0";"";
"3740";"152,0";"";
"3760";"152,0";"";
"3780";"152,0";"";
"3800";"152,0";"";
"3820";"152,0";"";
"3840";"152,0";"";
"3860";"152,0";"";
"3880";"152,0";"";
"3900";"152,0";"";
"3920";"152,0";"";
"3940";"152,0";"";
"3960";"152,0";"";
"3980";"152,0";"";
"4000";"152,0";"";
"4020";"152,0";"";
"4040";"152,0";"";
"4060";"152,0";"";
"4080";"152,0";"";
"4100";"152,0";"";
"4120";"152,0";"";
"4140";"152,0";"";
"4160";"152,0";"";
"4180";"152,0";"";
"4200";"152,0";"";
"4220";"152,0";"";
"4240";"152,0";"";
"4260";"152,0";"";
"4280";"152,0";"";
"4300";"152,0";"";
"4320";"152,0";"";
"4340";"152,0";"";
"4360";"152,0";"";
"4380";"152,0";"";
"4400";"152,0";"";
"4420";"152,0";"";
"4440";"152,0";"";
"4460";"152,0";"";
"4480";"152,0";"";
"4500";"152,0";"";
"4520";"152,0";"";
"4540";"152,0";"";
"4560";"152,0";"";
"4580";"152,0";"";
"4600";"152,0";"";
"4620";"152,0";"";
"4640";"152,0";"";
"4660";"152,0";"";
"4680";"152,0";"";
"4700";"152,0";"";
"4720";"152,0";"";
"4740";"152,0";"";
"4760";"152,0";"";
"4780";"152,0";"";
"4800";"152,0";"";
"4820";"152,0";"";
"4840";"152,0";"";
"4860";"152,0";"";
"4880";"152,0";"";
"4900";"152,0";"";
"4920";"152,0";"";
"4940";"152,0";"";
"4960";"152,0";"";
"4980";"152,0";"";
"5000";"152,0";"";
"5020";"152,0";"";
"5040";"152,0";"";
"5060";"152,0";"";
"5080";"152,0";"";
"5100";"152,0";"";
"5120";"152,0";"";
"5140";"152,0";"";
"5160";"152,0";"";
"5180";"152,0";"";
"5200";"152,0";"";
"5220";"152,0";"";
"5240";"152,0";"";
"5260";"152,0";"";
"5280";"152,0";"";
"5300";"152,0";"";
"5320";"152,0";"";
"5340";"152,0";"";
"5360";"152,0";"";
"5380";"152,0";"";
"5400";"152,0";"";
"5420";"152,0";"";
"5440";"152,0";"";
"5460";"152,0";"";
"5480";"152,0";"";
"5500";"152,0";"";
"5520";"152,0";"";
"5540";"152,0";"";
"5560";"152,0";"";
"5580";"152,0";"";
"5600";"152,0";"";
"5620";"152,0";"";
"5640";"152,0";"";
"5660";"152,0";"";
"5680";"152,0";"";
"5700";"152,0";"";
"5720";"152,0";"";
"5740";"152,0";"";
"5760";"152,0";"";
"5780";"152,0";"";
"5800";"152,0";"";
"5820";"152,0";"";
"5840";"152,0";"";
"5860";"152,0";"";
"5880";"152,0";"";
"5900";"152,0";"";
"5920";"152,0";"";
"5940";"152,0";"";
"5960";"152,0";"";
"5980";"152,0";"";
"6000";"152,0";"";
"6020";"152,0";"";
"6040";"152,0";"";
"6060";"152,0";"";
"6080";"152,0";"";
"6100";"152,0";"";
"6120";"152,0";"";
"6140";"152,0";"";
"6160";"152,0";"";
"6180";"152,0";"";
"6200";"152,0";"";
"6220";"152,0";"";
"6240";"152,0";"";
"6260";"152,0";"";
"6280";"152,0";"";
"6300";"152,0";"";
"6320";"152,0";"";
"6340";"152,0";"";
"6360";"152,0";"";
"6380";"152,0";"";
"6400";"152,0";"";
"6420";"152,0";"";
"6440";"152,0";"";
"6460";"152,0";"";
"6480";"152,0";"";
"6500";"152,0";"";
"6520";"152,0";"";
"6540";"152,0";"";
"6560";"152,0";"";
"6580";"152,0";"";
"6600";"152,0";"";
"6620";"152,0";"";
"6640";"152,0";"";
"6660";"152,0";"";
"6680";"152,0";"";
"6700";"152,0";"";
"6720";"152,0";"";
"6740";"152,0";"";
"6760";"152,0";"";
"6780";"152,0";"";
"6800";"152,0";"";
"6820";"152,0";"";
"6840";"152,0";"";
"6860";"152,0";"";
"6880";"152,0";"";
"6900";"152,0";"";
"6920";"152,0";"";
"6940";"152,0";"";
"6960";"152,0";"";
"6980";"152,0";"";
"7000";"152,0";"";
"7020";"152,0";"";
"7040";"152,0";"";
"7060";"152,0";"";
"7080";"152,0";"";
"7100";"152,0";"";
"7120";"152,0";"";
"7140";"152,0";"";
"7160";"152,0";"";
"7180";"152,0";"";
"7200";"152,0";"";
"7220";"152,0";"";
"7240";"152,0";"";
"7260";"152,0";"";
"7280";"152,0";"";
"7300";"152,0";"";
"7320";"152,0";"";
"7340";"152,0";"";
"7360";"152,0";"";
"7380";"152,0";"";
"7400";"152,0";"";
"7420";"152,0";"";
"7440";"152,0";"";
"7460";"152,0";"";
"7480";"152,0";"";
"7500";"152,0";"";
"7520";"152,0";"";
"7540";"152,0";"";
"7560";"152,0";"";
"7580";"152,0";"";
"7600";"152,0";"";
"7620";"152,0";"";
"7640";"152,0";"";
"7660";"152,0";"";
"7680";"152,0";"";
"7700";"152,0";"";
"7720";"152,0";"";
"7740";"152,0";"";
"7760";"152,0";"";
"7780";"152,0";"";
"7800";"152,0";"";
"7820";"152,0";"";
"7840";"152,0";"";
"7860";"152,0";"";
"7880";"152,0";"";
"7900";"152,0";"";
"7920";"152,0";"";
"7940";"152,0";"";
"7960";"152,0";"";
"7980";"152,0";"";
"8000";"152,0";"";
"8020";"152,0";"";
"8040";"152,0";"";
"8060";"152,0";"";
"8080";"152,0";"";
"8100";"152,0";"";
"8120";"152,0";"";
"8140";"152,0";"";
"8160";"152,0";"";
"8180";"152,0";"";
"8200";"152,0";"";
"8220";"152,0";"";
"8240";"152,0";"";
"8260";"152,0";"";
"8280";"152,0";"";
"8300";"152,0";"";
"8320";"152,0";"";
"8340";"152,0";"";
"8360";"152,0";"";
"8380";"152,0";"";
"8400";"152,0";"";
"8420";"152,0";"";
"8440";"152,0";"";
"8460";"152,0";"";
"8480";"152,0";"";
"8500";"152,0";"";
"8520";"152,0";"";
"8540";"152,0";"";
"8560";"152,0";"";
"8580";"152,0";"";
"8600";"152,0";"";
"8620";"152,0";"";
"8640";"152,0";"";
"8660";"152,0";"";
"8680";"152,0";"";
"8700";"152,0";"";
"8720";"152,0";"";
"8740";"152,0";"";
"8760";"152,0";"";
"8780";"152,0";"";
"8800";"152,0";"";
"8820";"152,0";"";
"8840";"152,0";"";
"8860";"152,0";"";
"8880";"152,0";"";
"8900";"152,0";"";
"8920";"152,0";"";
"8940";"152,0";"";
"8960";"152,0";"";
"8980";"152,0";"";
"9000";"152,0";"";
"9020";"152,0";"";
"9040";"152,0";"";
"9060";"152,0";"";
"9080";"152,0";"";
"9100";"152,0";"";
"9120";"152,0";"";
"9140";"152,0";"";
"9160";"152,0";"";
"9180";"152,0";"";
"9200";"152,0";"";
"9220";"152,0";"";
"9240";"152,0";"";
"9260";"152,0";"";
"9280";"152,0";"";
"9300";"152,0";"";
"9320";"152,0";"";
"9340";"152,0";"";
"9360";"152,0";"";
"9380";"152,0";"";
"9400";"152,0";"";
"9420";"152,0";"";
"9440";"152,0";"";
"9460";"152,0";"";
"9480";"152,0";"";
"9500";"152,0";"";
"9520";"152,0";"";
"9540";"152,0";"";
"9560";"152,0";"";
"9580";"152,0";"";
"9600";"152,0";"";
"9620";"152,0";"";
"9640";"152,0";"";
"9660";"152,0";"";
"9680";"152,0";"";
"9700";"152,0";"";
"9720";"152,0";"";
"9740";"152,0";"";
"9760";"152,0";"";
"9780";"152,0";"";
"9800";"152,0";"";
"9820";"152,0";"";
"9840";"152,0";"";
"9860";"152,0";"";
"9880";"152,0";"";
"9900";"152,0";"";
"9920";"152,0";"";
"9940";"152,0";"";
"9960";"152,0";"";
"9980";"152,0";"";
"10000";"152,0";"";
"10020";"152,0";"";
"10040";"152,0";"";
"10060";"152,0";"";
"10080";"152,0";"";
"10100";"152,0";"";
"10120";"152,0";"";
"10140";"152,0";"";
"10160";"152,0";"";
"10180";"152,0";"";
"10200";"152,0";"";
"10220";"152,0";"";
"10240";"152,0";"";
"10260";"152,0";"";
"10280";"152,0";"";
"10300";"152,0";"";
"10320";"152,0";"";
"10340";"152,0";"";
"10360";"152,0";"";
"10380";"152,0";"";
"10400";"152,0";"";
"10420";"152,0";"";
"10440";"152,0";"";
"10460";"152,0";"";
"10480";"152,0";"";
"10500";"152,0";"";
"10520";"152,0";"";
"10540";"152,0";"";
"10560";"152,0";"";
"10580";"152,0";"";
"10600";"152,0";"";
"10620";"152,0";"";
"10640";"152,0";"";
"10660";"152,0";"";
"10680";"152,0";"";
"10700";"152,0";"";
"10720";"152,0";"";
"10740";"152,0";"";
"10760";"152,0";"";
"10780";"152,0";"";
"10800";"152,0";"";
"10820";"152,0";"";
"10840";"152,0";"";
"10860";"152,0";"";
"10880";"152,0";"";
"10900";"152,0";"";
"10920";"152,0";"";
"10940";"152,0";"";
"10960";"152,0";"";
"10980";"152,0";"";
"11000";"152,0";"";
"11020";"152,0";"";
"11040";"152,0";"";
"11060";"152,0";"";
"11080";"152,0";"";
"11100";"152,0";"";
"11120";"152,0";"";
"11140";"152,0";"";
"11160";"152,0";"";
"11180";"152,0";"";
"11200";"152,0";"";
"11220";"152,0";"";
"11240";"152,0";"";
"11260";"152,0";"";
"11280";"152,0";"";
"11300";"152,0";"";
"11320";"152,0";"";
"11340";"152,0";"";
"11360";"152,0";"";
"11380";"152,0";"";
"11400";"152,0";"";
"11420";"152,0";"";
"11440";"152,0";"";
"11460";"152,0";"";
"11480";"152,0";"";
"11500";"152,0";"";
"11520";"152,0";"";
"11540";"152,0";"";
"11560";"152,0";"";
"11580";"152,0";"";
"11600";"152,0";"";
"11620";"152,0";"";
"11640";"152,0";"";
"11660";"152,0";"";
"11680";"152,0";"";
"11700";"152,0";"";
"11720";"152,0";"";
"11740";"152,0";"";
"11760";"152,0";"";
"11780";"152,0";"";
"11800";"152,0";"";
"11820";"152,0";"";
"11840";"152,0";"";
"11860";"152,0";"";
"11880";"152,0";"";
"11900";"152,0";"";
"11920";"152,0";"";
"11940";"152,0";"";
"11960";"152,0";"";
"11980";"152,0";"";
"12000";"152,0";"";
"12020";"152,0";"";
"12040";"152,0";"";
"12060";"152,0";"";
"12080";"152,0";"";
"12100";"152,0";"";
"12120";"152,0";"";
"12140";"152,0";"";
"12160";"152,0";"";
"12180";"152,0";"";
"12200";"152,0";"";
"12220";"152,0";"";
"12240";"152,0";"";
"12260";"152,0";"";
"12280";"152,0";"";
"12300";"152,0";"";
"12320";"152,0";"";
"12340";"152,0";"";
"12360";"152,0";"";
"12380";"152,0";"";
"12400";"152,0";"";
"12420";"152,0";"";
"12440";"152,0";"";
"12460";"152,0";"";
"12480";"152,0";"";
"12500";"152,0";"";
"12520";"152,0";"";
"12540";"152,0";"";
"12560";"152,0";"";
"12580";"152,0";"";
"12600";"152,0";"";
"12620";"152,0";"";
"12640";"152,0";"";
"12660";"152,0";"";
"12680";"152,0";"";
"12700";"152,0";"";
"12720";"152,0";"";
"12740";"152,0";"";
"12760";"152,0";"";
"12780";"152,0";"";
"12800";"152,0";"";
"12820";"152,0";"";
"12840";"152,0";"";
"12860";"152,0";"";
"12880";"152,0";"";
"12900";"152,0";"";
"12920";"152,0";"";
"12940";"152,0";"";
"12960";"152,0";"";
"12980";"152,0";"";
"13000";"152,0";"";
"13020";"152,0";"";
"13040";"152,0";"";
"13060";"152,0";"";
"13080";"152,0";"";
"13100";"152,0";"";
"13120";"152,0";"";
"13140";"152,0";"";
"13160";"152,0";"";
"13180";"152,0";"";
"13200";"152,0";"";
"13220";"152,0";"";
"13240";"152,0";"";
"13260";"152,0";"";
"13280";"152,0";"";
"13300";"152,0";"";
"13320";"152,0";"";
"13340";"152,0";"";
"13360";"152,0";"";
"13380";"152,0";"";
"13400";"152,0";"";
"13420";"152,0";"";
"13440";"152,0";"";
"13460";"152,0";"";
"13480";"152,0";"";
"13500";"152,0";"";
"13520";"152,0";"";
"13540";"152,0";"";
"13560";"152,0";"";
"13580";"152,0";"";
"13600";"152,0";"";
"13620";"152,0";"";
"13640";"152,0";"";
"13660";"152,0";"";
"13680";"152,0";"";
"13700";"152,0";"";
"13720";"152,0";"";
"13740";"152,0";"";
"13760";"152,0";"";
"13780";"152,0";"";
"13800";"152,0";"";
"13820";"152,0";"";
"13840";"152,0";"";
"13860";"152,0";"";
"13880";"152,0";"";
"13900";"152,0";"";
"13920";"152,0";"";
"13940";"152,0";"";
"13960";"152,0";"";
"13980";"152,0";"";
"14000";"152,0";"";
"14020";"152,0";"";
"14040";"152,0";"";
"14060";"152,0";"";
"14080";"152,0";"";
"14100";"152,0";"";
"14120";"152,0";"";
"14140";"152,0";"";
"14160";"152,0";"";
"14180";"152,0";"";
"14200";"152,0";"";
"14220";"152,0";"";
"14240";"152,0";"";
"14260";"152,0";"";
"14280";"152,0";"";
"14300";"152,0";"";
"14320";"152,0";"";
"14340";"152,0";"";
"14360";"152,0";"";
"14380";"152,0";"";
"14400";"152,0";"";
"14420";"152,0";"";
"14440";"152,0";"";
"14460";"152,0";"";
"14480";"152,0";"";
"14500";"152,0";"";
"14520";"152,0";"";
"14540";"152,0";"";
"14560";"152,0";"";
"14580";"152,0";"";
"14600";"152,0";"";
"14620";"152,0";"";
"14640";"152,0";"";
"14660";"152,0";"";
"14680";"152,0";"";
"14700";"152,0";"";
"14720";"152,0";"";
"14740";"152,0";"";
"14760";"152,0";"";
"14780";"152,0";"";
"14800";"152,0";"";
"14820";"152,0";"";
"14840";"152,0";"";
"14860";"152,0";"";
"14880";"152,0";"";
"14900";"152,0";"";
"14920";"152,0";"";
"14940";"152,0";"";
"14960";"152,0";"";
"14980";"152,0";"";
"15000";"152,0";"";
"15020";"152,0";"";
"15040";"152,0";"";
"15060";"152,0";"";
"15080";"152,0";"";
"15100";"152,0";"";
"15120";"152,0";"";
"15140";"152,0";"";
"15160";"152,0";"";
"15180";"152,0";"";
"15200";"152,0";"";
"15220";"152,0";"";
"15240";"152,0";"";
"15260";"152,0";"";
"15280";"152,0";"";
"15300";"152,0";"";
"15320";"152,0";"";
"15340";"152,0";"";
"15360";"152,0";"";
"15380";"152,0";"";
"15400";"152,0";"";
"15420";"152,0";"";
"15440";"152,0";"";
"15460";"152,0";"";
"15480";"152,0";"";
"15500";"152,0";"";
"15520";"152,0";"";
"15540";"152,0";"";
"15560";"152,0";"";
"15580";"152,0";"";
"15600";"152,0";"";
"15620";"152,0";"";
"15640";"152,0";"";
"15660";"152,0";"";
"15680";"152,0";"";
"15700";"152,0";"";
"15720";"152,0";"";
"15740";"152,0";"";
"15760";"152,0";"";
"15780";"152,0";"";
"15800";"152,0";"";
"15820";"152,0";"";
"15840";"152,0";"";
"15860";"152,0";"";
"15880";"152,0";"";
"15900";"152,0";"";
"15920";"152,0";"";
"15940";"152,0";"";
"15960";"152,0";"";
"15980";"152,0";"";
"16000";"152,0";"";
"16020";"152,0";"";
"16040";"152,0";"";
"16060";"152,0";"";
"16080";"152,0";"";
"16100";"152,0";"";
"16120";"152,0";"";
"16140";"152,0";"";
"16160";"152,0";"";
"16180";"152,0";"";
"16200";"152,0";"";
"16220";"152,0";"";
"16240";"152,0";"";
"16260";"152,0";"";
"16280";"152,0";"";
"16300";"152,0";"";
"16320";"152,0";"";
"16340";"152,0";"";
"16360";"152,0";"";
"16380";"152,0";"";
"16400";"152,0";"";
"16420";"152,0";"";
"16440";"152,0";"";
"16460";"152,0";"";
"16480";"152,0";"";
"16500";"152,0";"";
"16520";"152,0";"";
"16540";"152,0";"";
"16560";"152,0";"";
"16580";"152,0";"";
"16600";"152,0";"";
"16620";"152,0";"";
"16640";"152,0";"";
"16660";"152,0";"";
"16680";"152,0";"";
"16700";"152,0";"";
"16720";"152,0";"";
"16740";"152,0";"";
"16760";"152,0";"";
"16780";"152,0";"";
"16800";"152,0";"";
"16820";"152,0";"";
"16840";"152,0";"";
