"Zeit in ms:";"x in m/s²";"y in m/s²";"z in m/s²";"Markiert:";
"0";"-0,2861";"0,091699995";"0,4707";"";
"20";"-0,4815";"-0,3152";"2,5211";"";
"40";"-0,4815";"-0,3152";"2,5211";"";
"60";"0,35029998";"-0,1239";"-0,2864";"";
"80";"0,146";"-0,2154";"-1,1955";"";
"100";"0,0488";"0,0652";"-1,1824";"";
"120";"-0,017199999";"0,1942";"-0,5679";"";
"140";"-0,16409999";"0,0128";"0,0337";"";
"160";"-0,1783";"-0,009699999";"0,32189998";"";
"180";"-0,1538";"0,0852";"0,7858";"";
"200";"-0,0865";"-0,0519";"0,7062";"";
"220";"0,024699999";"-0,0817";"0,24479999";"";
"240";"-0,037499998";"0,0243";"-0,1621";"";
"260";"0,0019999999";"0,055299997";"-0,3119";"";
"280";"0,0394";"0,0263";"-0,3802";"";
"300";"0,0814";"-0,0884";"-0,1435";"";
"320";"0,1157";"-0,0884";"-0,0321";"";
"340";"0,0646";"-0,0651";"0,1276";"";
"360";"0,0206";"-0,062299997";"0,2716";"";
"380";"-0,0501";"-0,067499995";"0,22479999";"";
"400";"0,0479";"-0,0404";"0,084";"";
"420";"0,0576";"-0,0278";"-0,025799999";"";
"440";"-0,0753";"-0,024799999";"-0,0275";"";
"460";"0,0143";"-0,0195";"-4,9999997E-4";"";
"480";"0,10349999";"-0,081599995";"-0,048499998";"";
"500";"0,111099996";"-0,0657";"0,14649999";"";
"520";"0,0791";"-0,0506";"0,22399999";"";
"540";"-0,1501";"-0,0517";"0,2427";"";
"560";"-0,0015";"-0,0058999998";"0,1065";"";
"580";"0,0412";"-0,0354";"-0,0676";"";
"600";"0,0276";"0,0232";"-0,1533";"";
"620";"0,019399999";"0,0589";"-0,103";"";
"640";"-0,0565";"0,0112";"0,028099999";"";
"660";"0,0174";"-0,044299997";"0,0503";"";
"680";"0,020399999";"-0,048699997";"0,1107";"";
"700";"0,051599998";"-0,0596";"0,1112";"";
"720";"0,074";"-0,0409";"0,1804";"";
"740";"0,0587";"0,005";"0,26029998";"";
"760";"0,0332";"-0,0321";"0,22379999";"";
