"Zeit in ms:";"x in rad/s";"y in rad/s";"z in rad/s";"Markiert:";
"0";"0,19788542";"0,38709658";"-0,06750934";"";
"20";"0,8403062";"-0,17912313";"0,17064084";"";
"40";"0,9590584";"-0,25642377";"0,17671458";"";
"60";"0,9590584";"-0,25642377";"0,17671458";"";
"80";"1,0162354";"-0,20432569";"0,019128809";"";
"100";"0,07990117";"0,06283186";"-0,04925319";"";
"120";"-0,29906216";"0,13625786";"-0,066706486";"";
"140";"-0,5867448";"0,04251622";"-0,092572264";"";
"160";"-0,5727996";"0,014102261";"-0,08255407";"";
"180";"-0,20938715";"0,010594148";"-0,008098328";"";
"200";"0,10841985";"-0,044069562";"0,047054075";"";
"220";"0,26611036";"-0,09320058";"0,05396558";"";
"240";"0,30279717";"-0,09672615";"0,030944688";"";
"260";"0,26338765";"-0,078173295";"0,03185226";"";
"280";"0,044942226";"-0,015655603";"0,027471483";"";
"300";"-0,07433357";"-0,022113321";"0,0077318083";"";
"320";"-0,118507855";"-0,03117158";"-0,010541788";"";
"340";"-0,09450958";"0,0051138145";"-0,028815385";"";
"360";"-0,0076794485";"0,040805798";"-0,012653637";"";
"380";"0,087964594";"0,01595231";"-0,004415683";"";
"400";"0,14062117";"-0,014241886";"-0,0029321532";"";
"420";"0,14959218";"0,017418386";"-0,0015707964";"";
"440";"0,12077679";"0,022270402";"0,004118977";"";
"460";"0,06297148";"0,0044854963";"0,02094395";"";
"480";"0,007225663";"0,009389872";"0,0074351025";"";
"500";"-0,03457497";"0,040893063";"-0,008691739";"";
"520";"-0,046024334";"0,06709046";"-0,036320303";"";
"540";"-0,014451326";"0,02755875";"-0,045291293";"";
"560";"0,026145032";"5,235988E-5";"-0,011135201";"";
"580";"0,05651376";"-0,039793506";"-0,0069115036";"";
"600";"0,054262288";"-0,02432989";"-0,016842427";"";
"620";"0,035552356";"0,026860617";"-0,024644049";"";
"640";"0,03122394";"0,042970005";"-0,008866273";"";
"660";"0,034766957";"0,02693043";"0,0060562924";"";
"680";"0,02136283";"0,016301375";"0,005427974";"";
"700";"0,0048694685";"0,011955505";"-0,008621926";"";
"720";"0,0053930674";"0,0030543262";"-0,01712168";"";
"740";"0,029147";"0,018011797";"-0,019617502";"";
"760";"0,05071927";"0,011763519";"-0,02586578";"";
"780";"0,07054621";"-5,235988E-5";"-0,021013765";"";
"800";"0,07827802";"-0,013439035";"-0,012653637";"";
"820";"0,058171824";"-0,018762289";"-0,007749262";"";
"840";"0,03351032";"-0,043266714";"-0,019093903";"";
"860";"0,010629055";"-0,038187806";"-0,03141593";"";
"880";"0,010227629";"0,019617502";"-0,028693212";"";
"900";"0,016266469";"0,018622663";"-0,02274164";"";
"920";"0,04426155";"-0,010594148";"-0,0028972465";"";
"940";"0,05127777";"-0,011658799";"-0,01654572";"";
"960";"0,05178392";"-0,020176006";"-0,019041542";"";
"980";"0,033562683";"0,0055152406";"-0,0012740904";"";
"1000";"0,011746066";"0,016737707";"-0,006562438";"";
"1020";"-7,15585E-4";"0,015149458";"-0,012618731";"";
"1040";"-0,0045727626";"0,012444197";"-0,03213151";"";
"1060";"0,001553343";"0,01303761";"-0,038554322";"";
"1080";"0,02766347";"-0,009738937";"-0,018867008";"";
"1100";"0,045378562";"-0,01870993";"-0,0046774824";"";
"1120";"0,03436553";"-0,019373154";"9,5993106E-4";"";
"1140";"2,2689281E-4";"0,0013613568";"2,2689281E-4";"";
"1160";"-0,031520646";"-0,014398966";"-0,018046705";"";
"1180";"-0,037035886";"-0,025237462";"-0,02825688";"";
"1200";"-0,015934857";"-0,016371189";"-0,0397586";"";
"1220";"0,023858652";"-0,0017802358";"-0,04392994";"";
"1240";"0,05639159";"-0,026214845";"-0,03832743";"";
"1260";"0,043284167";"-0,0049218284";"-0,05014331";"";
"1280";"0,01701696";"0,034260813";"-0,05534439";"";
"1300";"-0,016371189";"0,05255186";"-0,046582837";"";
"1320";"-0,03918264";"0,10054842";"-0,05469862";"";
"1340";"-0,036041047";"0,15102334";"-0,05841617";"";
"1360";"-0,0038397242";"0,1394518";"-0,05693264";"";
"1380";"0,009546951";"0,13964379";"-0,04845034";"";
"1400";"0,031730086";"0,1728574";"-0,050544735";"";
"1420";"0,051504668";"0,18837339";"-0,0487645";"";
"1440";"0,13566445";"0,27581438";"0,0013439035";"";
"1460";"0,23663174";"0,27474973";"0,04309218";"";
"1480";"0,33361968";"0,25097835";"0,081629045";"";
"1500";"0,39559633";"0,1661728";"0,11946779";"";
"1520";"0,42076397";"0,09234537";"0,16975072";"";
"1540";"0,5574407";"0,28677505";"0,27403414";"";
"1560";"0,69661325";"0,28722882";"0,24027948";"";
"1580";"0,82650065";"0,26068237";"0,15114552";"";
"1600";"0,87639964";"0,2623928";"0,13372713";"";
"1620";"0,9116029";"0,011152654";"0,17287487";"";
"1640";"0,86671305";"-0,19076449";"0,34140384";"";
"1660";"0,7988896";"-0,15835372";"0,65242153";"";
"1680";"0,7042403";"-0,47825512";"0,9651845";"";
"1700";"0,558837";"-0,7466518";"1,1711857";"";
"1720";"0,029234264";"-0,44668213";"1,1695975";"";
"1740";"-0,51874673";"-0,7814188";"1,0282084";"";
"1760";"-1,0796956";"-1,050374";"0,84739226";"";
"1780";"-1,5489972";"-0,75766486";"0,6615147";"";
"1800";"-1,7554172";"-0,4110774";"0,39514256";"";
"1820";"-1,6006938";"0,080389865";"0,09773844";"";
"1840";"-1,1312351";"0,18688986";"0,1312662";"";
"1860";"-0,59430206";"0,17263052";"0,28035223";"";
"1880";"-0,32039008";"0,1619142";"0,3428001";"";
"1900";"-0,32669073";"0,1545489";"0,3506541";"";
"1920";"-0,4087561";"0,30698597";"0,35259143";"";
"1940";"-0,41809362";"0,58309704";"0,32051226";"";
"1960";"-0,33433527";"0,62662554";"0,25268877";"";
"1980";"-0,14768976";"0,36280158";"0,22650883";"";
"2000";"0,046146505";"0,13020156";"0,23938936";"";
"2020";"0,04171337";"0,04420919";"0,16510814";"";
"2040";"-0,06628761";"0,037088245";"0,0339292";"";
"2060";"-0,16238543";"0,11805407";"-0,10206685";"";
"2080";"-0,07972664";"0,08564331";"-0,10279989";"";
"2100";"0,051871184";"-0,08660324";"-0,06956882";"";
"2120";"0,09203121";"-0,20078267";"-0,092170835";"";
"2140";"0,08880235";"-0,1557881";"-0,14018485";"";
"2160";"0,15784758";"0,043266714";"-0,22930136";"";
"2180";"0,21676989";"0,12112585";"-0,25804693";"";
"2200";"0,24712117";"0,11938052";"-0,26666886";"";
"2220";"0,22294836";"0,092310466";"-0,31934288";"";
"2240";"0,16446237";"0,21748547";"-0,4367861";"";
"2260";"0,17004743";"0,3509508";"-0,5442111";"";
"2280";"0,2130698";"0,4272217";"-0,62697464";"";
"2300";"0,2687458";"0,30775392";"-0,7313802";"";
"2320";"0,25994933";"-0,0055676005";"-0,7217809";"";
"2340";"0,14592698";"-0,2544341";"-0,72008795";"";
"2360";"0,011327187";"-0,20313887";"-0,6299766";"";
"2380";"-0,0874759";"-0,09318313";"-0,51939255";"";
"2400";"-0,25804693";"0,073722705";"-0,33190927";"";
"2420";"-0,2978928";"0,058381263";"-0,23706807";"";
"2440";"-0,2756922";"0,041486476";"-0,153397";"";
"2460";"-0,24364796";"0,19245745";"-0,12760103";"";
"2480";"0,0011693706";"0,4602433";"-0,109030716";"";
"2500";"0,41191515";"0,52454126";"-0,0044854963";"";
"2520";"0,7000341";"0,5535137";"0,111177474";"";
"2540";"0,64322364";"0,49143237";"0,16582373";"";
"2560";"0,37952185";"0,5780181";"0,20957914";"";
"2580";"-0,14554301";"0,79885465";"0,4510629";"";
"2600";"-0,5284508";"0,9844355";"0,6254736";"";
"2620";"-0,6035872";"0,9653067";"0,7333001";"";
"2640";"-0,622908";"0,7082895";"0,64058816";"";
"2660";"-0,64891344";"0,5114862";"0,5226039";"";
"2680";"-0,5515764";"0,49958304";"0,5198114";"";
"2700";"-0,42502257";"0,5086064";"0,6335022";"";
"2720";"-0,51003754";"0,62950534";"0,77752674";"";
"2740";"-0,5440191";"0,71986103";"0,80768603";"";
"2760";"-0,3825238";"0,80475384";"0,82098544";"";
"2780";"-0,23916246";"0,6612005";"0,80969316";"";
"2800";"-0,07661995";"0,36754888";"0,65910614";"";
"2820";"0,051609386";"0,123429686";"0,45998153";"";
"2840";"-0,043231804";"-0,04818854";"0,6039712";"";
"2860";"-0,066636674";"-0,08688249";"0,53656656";"";
"2880";"-0,01701696";"-0,14781193";"0,48162362";"";
"2900";"0,029461158";"0,035534903";"0,30262265";"";
"2920";"0,09594075";"0,0048171086";"0,2173633";"";
"2940";"0,1703616";"-0,07307693";"0,18725638";"";
"2960";"0,37302923";"-0,14287265";"0,31796408";"";
"2980";"0,48441613";"0,0198793";"0,42661083";"";
"3000";"0,62711424";"0,073565625";"0,4182507";"";
"3020";"0,755937";"0,026424285";"0,3213151";"";
"3040";"0,9413608";"-0,08192576";"0,26995006";"";
"3060";"1,2501793";"-0,20294689";"0,32683036";"";
"3080";"1,1876093";"-0,15416493";"0,2600017";"";
"3100";"0,92560047";"-0,06527531";"0,2234545";"";
"3120";"0,70940655";"-0,04775221";"0,20165534";"";
"3140";"0,48895398";"-0,0013439035";"0,12060225";"";
"3160";"0,30148816";"0,12997466";"-0,018779743";"";
"3180";"0,31477013";"0,2082876";"-0,0146084055";"";
"3200";"0,33576643";"0,19261454";"-0,020280726";"";
"3220";"0,30016172";"0,1394169";"-0,06377433";"";
"3240";"0,24031438";"-0,013665928";"-0,12934636";"";
"3260";"0,19422024";"-0,023841197";"-0,12372639";"";
"3280";"0,15655604";"0,061295964";"-0,11327187";"";
"3300";"0,19521508";"0,0257087";"-0,073967054";"";
"3320";"0,21868975";"-0,017802358";"-0,05820673";"";
