"Zeit in ms:";"Schritt";"Markiert:";
"0";"59,0";"";
"20";"59,0";"";
"40";"59,0";"";
"60";"59,0";"";
"80";"59,0";"";
"100";"59,0";"";
"120";"59,0";"";
"140";"59,0";"";
"160";"59,0";"";
"180";"59,0";"";
"200";"59,0";"";
"220";"59,0";"";
"240";"59,0";"";
"260";"59,0";"";
"280";"59,0";"";
"300";"59,0";"";
"320";"59,0";"";
"340";"59,0";"";
"360";"59,0";"";
"380";"59,0";"";
"400";"59,0";"";
"420";"59,0";"";
"440";"59,0";"";
"460";"59,0";"";
"480";"59,0";"";
"500";"59,0";"";
"520";"59,0";"";
"540";"59,0";"";
"560";"59,0";"";
"580";"59,0";"";
"600";"59,0";"";
"620";"59,0";"";
"640";"59,0";"";
"660";"59,0";"";
"680";"59,0";"";
"700";"59,0";"";
"720";"59,0";"";
"740";"59,0";"";
"760";"59,0";"";
"780";"59,0";"";
"800";"59,0";"";
"820";"59,0";"";
"840";"59,0";"";
"860";"59,0";"";
"880";"59,0";"";
"900";"59,0";"";
"920";"59,0";"";
"940";"59,0";"";
"960";"59,0";"";
"980";"59,0";"";
"1000";"59,0";"";
"1020";"59,0";"";
"1040";"59,0";"";
"1060";"59,0";"";
"1080";"59,0";"";
"1100";"59,0";"";
"1120";"59,0";"";
"1140";"59,0";"";
"1160";"59,0";"";
"1180";"59,0";"";
"1200";"59,0";"";
"1220";"59,0";"";
"1240";"59,0";"";
"1260";"59,0";"";
"1280";"59,0";"";
"1300";"59,0";"";
"1320";"59,0";"";
"1340";"59,0";"";
"1360";"59,0";"";
"1380";"59,0";"";
"1400";"59,0";"";
"1420";"59,0";"";
"1440";"59,0";"";
"1460";"59,0";"";
"1480";"59,0";"";
"1500";"59,0";"";
"1520";"59,0";"";
"1540";"59,0";"";
"1560";"59,0";"";
"1580";"59,0";"";
"1600";"59,0";"";
"1620";"59,0";"";
"1640";"59,0";"";
"1660";"59,0";"";
"1680";"59,0";"";
"1700";"59,0";"";
"1720";"59,0";"";
"1740";"59,0";"";
"1760";"59,0";"";
"1780";"59,0";"";
"1800";"59,0";"";
"1820";"59,0";"";
"1840";"59,0";"";
"1860";"59,0";"";
"1880";"59,0";"";
"1900";"59,0";"";
"1920";"59,0";"";
"1940";"59,0";"";
"1960";"59,0";"";
"1980";"59,0";"";
"2000";"59,0";"";
"2020";"59,0";"";
"2040";"59,0";"";
"2060";"59,0";"";
"2080";"59,0";"";
"2100";"59,0";"";
"2120";"59,0";"";
"2140";"59,0";"";
"2160";"59,0";"";
"2180";"59,0";"";
"2200";"59,0";"";
"2220";"59,0";"";
"2240";"59,0";"";
"2260";"59,0";"";
"2280";"59,0";"";
"2300";"59,0";"";
"2320";"59,0";"";
"2340";"59,0";"";
"2360";"59,0";"";
"2380";"59,0";"";
"2400";"59,0";"";
"2420";"59,0";"";
"2440";"59,0";"";
"2460";"59,0";"";
"2480";"59,0";"";
"2500";"59,0";"";
"2520";"59,0";"";
"2540";"59,0";"";
"2560";"59,0";"";
"2580";"59,0";"";
"2600";"59,0";"";
"2620";"59,0";"";
"2640";"59,0";"";
"2660";"59,0";"";
"2680";"59,0";"";
"2700";"59,0";"";
"2720";"59,0";"";
"2740";"59,0";"";
"2760";"59,0";"";
"2780";"59,0";"";
"2800";"59,0";"";
"2820";"59,0";"";
"2840";"59,0";"";
"2860";"59,0";"";
"2880";"59,0";"";
"2900";"59,0";"";
"2920";"59,0";"";
"2940";"59,0";"";
"2960";"59,0";"";
"2980";"59,0";"";
"3000";"59,0";"";
"3020";"59,0";"";
"3040";"59,0";"";
"3060";"59,0";"";
"3080";"59,0";"";
"3100";"59,0";"";
"3120";"59,0";"";
"3140";"59,0";"";
"3160";"59,0";"";
"3180";"59,0";"";
"3200";"59,0";"";
"3220";"59,0";"";
"3240";"59,0";"";
"3260";"59,0";"";
"3280";"59,0";"";
"3300";"59,0";"";
"3320";"59,0";"";
"3340";"59,0";"";
"3360";"59,0";"";
"3380";"59,0";"";
"3400";"59,0";"";
"3420";"59,0";"";
"3440";"59,0";"";
"3460";"59,0";"";
"3480";"59,0";"";
"3500";"59,0";"";
"3520";"59,0";"";
"3540";"59,0";"";
"3560";"59,0";"";
"3580";"59,0";"";
"3600";"59,0";"";
"3620";"59,0";"";
"3640";"59,0";"";
"3660";"59,0";"";
"3680";"59,0";"";
"3700";"59,0";"";
"3720";"59,0";"";
"3740";"59,0";"";
"3760";"59,0";"";
"3780";"59,0";"";
"3800";"59,0";"";
"3820";"59,0";"";
"3840";"59,0";"";
"3860";"59,0";"";
"3880";"59,0";"";
"3900";"59,0";"";
"3920";"59,0";"";
"3940";"59,0";"";
"3960";"59,0";"";
"3980";"59,0";"";
"4000";"59,0";"";
"4020";"59,0";"";
"4040";"59,0";"";
"4060";"59,0";"";
"4080";"59,0";"";
"4100";"59,0";"";
"4120";"59,0";"";
"4140";"59,0";"";
"4160";"59,0";"";
"4180";"59,0";"";
"4200";"59,0";"";
"4220";"59,0";"";
"4240";"59,0";"";
"4260";"59,0";"";
"4280";"59,0";"";
"4300";"59,0";"";
"4320";"59,0";"";
"4340";"59,0";"";
"4360";"59,0";"";
"4380";"59,0";"";
"4400";"59,0";"";
"4420";"59,0";"";
"4440";"59,0";"";
"4460";"59,0";"";
"4480";"59,0";"";
"4500";"59,0";"";
"4520";"59,0";"";
"4540";"59,0";"";
"4560";"59,0";"";
"4580";"59,0";"";
"4600";"59,0";"";
"4620";"59,0";"";
"4640";"59,0";"";
"4660";"59,0";"";
"4680";"59,0";"";
"4700";"59,0";"";
"4720";"59,0";"";
"4740";"59,0";"";
"4760";"59,0";"";
"4780";"59,0";"";
"4800";"59,0";"";
"4820";"59,0";"";
"4840";"59,0";"";
"4860";"59,0";"";
"4880";"59,0";"";
"4900";"59,0";"";
"4920";"59,0";"";
"4940";"59,0";"";
"4960";"59,0";"";
"4980";"59,0";"";
"5000";"59,0";"";
"5020";"59,0";"";
"5040";"59,0";"";
"5060";"59,0";"";
"5080";"59,0";"";
"5100";"59,0";"";
"5120";"59,0";"";
"5140";"59,0";"";
"5160";"59,0";"";
"5180";"59,0";"";
"5200";"59,0";"";
"5220";"59,0";"";
"5240";"59,0";"";
"5260";"59,0";"";
"5280";"59,0";"";
"5300";"59,0";"";
"5320";"59,0";"";
"5340";"59,0";"";
"5360";"59,0";"";
"5380";"59,0";"";
"5400";"59,0";"";
"5420";"59,0";"";
"5440";"59,0";"";
"5460";"59,0";"";
"5480";"59,0";"";
"5500";"59,0";"";
"5520";"59,0";"";
"5540";"59,0";"";
"5560";"59,0";"";
"5580";"59,0";"";
"5600";"59,0";"";
"5620";"59,0";"";
"5640";"59,0";"";
"5660";"59,0";"";
"5680";"59,0";"";
"5700";"59,0";"";
"5720";"59,0";"";
"5740";"59,0";"";
"5760";"59,0";"";
"5780";"59,0";"";
"5800";"59,0";"";
"5820";"59,0";"";
"5840";"59,0";"";
"5860";"59,0";"";
"5880";"59,0";"";
"5900";"59,0";"";
"5920";"59,0";"";
"5940";"59,0";"";
"5960";"59,0";"";
"5980";"59,0";"";
"6000";"59,0";"";
"6020";"59,0";"";
"6040";"59,0";"";
"6060";"59,0";"";
"6080";"59,0";"";
"6100";"59,0";"";
"6120";"59,0";"";
"6140";"59,0";"";
"6160";"59,0";"";
"6180";"59,0";"";
"6200";"59,0";"";
"6220";"59,0";"";
"6240";"59,0";"";
"6260";"59,0";"";
"6280";"59,0";"";
"6300";"59,0";"";
"6320";"59,0";"";
"6340";"59,0";"";
"6360";"59,0";"";
"6380";"59,0";"";
"6400";"59,0";"";
"6420";"59,0";"";
"6440";"59,0";"";
"6460";"59,0";"";
"6480";"59,0";"";
"6500";"59,0";"";
"6520";"59,0";"";
"6540";"59,0";"";
"6560";"59,0";"";
"6580";"59,0";"";
"6600";"59,0";"";
"6620";"59,0";"";
"6640";"59,0";"";
"6660";"59,0";"";
"6680";"59,0";"";
"6700";"59,0";"";
"6720";"59,0";"";
"6740";"59,0";"";
"6760";"59,0";"";
"6780";"59,0";"";
"6800";"59,0";"";
"6820";"59,0";"";
"6840";"59,0";"";
"6860";"59,0";"";
"6880";"59,0";"";
"6900";"59,0";"";
"6920";"59,0";"";
"6940";"59,0";"";
"6960";"59,0";"";
"6980";"59,0";"";
"7000";"59,0";"";
"7020";"59,0";"";
"7040";"59,0";"";
"7060";"59,0";"";
"7080";"59,0";"";
"7100";"59,0";"";
"7120";"59,0";"";
"7140";"59,0";"";
"7160";"59,0";"";
"7180";"59,0";"";
"7200";"59,0";"";
"7220";"59,0";"";
"7240";"59,0";"";
"7260";"59,0";"";
